HomeTeam,AwayTeam,FTHG,FTAG
Ural,FK Rostov,0,1
Ufa,Akhmat Grozny,0,1
Arsenal Tula,T. Moscow,1,3
M. Saransk,Amkar,1,0
Rubin Kazan,Krasnodar,1,2
Akhmat Grozny,Zenit,1,2
Kuban,Ural,0,2
Lokomotiv Moscow,T. Moscow,2,0
CSKA Moscow,Dynamo Moscow,1,2
Arsenal Tula,Spartak Moscow,1,0
FK Rostov,Ufa,2,0
Krasnodar,Kuban,3,2
Zenit,Rubin Kazan,1,1
Ufa,Arsenal Tula,0,1
Dynamo Moscow,M. Saransk,2,1
Ural,Lokomotiv Moscow,2,0
Amkar,CSKA Moscow,1,0
T. Moscow,Akhmat Grozny,0,0
FK Rostov,Spartak Moscow,2,1
Ufa,Lokomotiv Moscow,1,0
M. Saransk,Spartak Moscow,1,3
Rubin Kazan,Ural,2,1
CSKA Moscow,Krasnodar,1,1
Akhmat Grozny,Dynamo Moscow,0,0
Kuban,Zenit,0,0
Amkar,Arsenal Tula,0,1
FK Rostov,T. Moscow,1,0
Ufa,Kuban,3,2
M. Saransk,Ural,2,1
Amkar,Akhmat Grozny,2,1
T. Moscow,CSKA Moscow,0,2
Krasnodar,Lokomotiv Moscow,1,0
